 Dimension       Time    Gflop/s       Error
       128   0.178888  11.180154     2.789494e+00
       256   0.176502  11.331303     2.912115e+00
       512   0.177121  11.291736     4.029004e+00
      1024   0.181334  11.029386     5.843679e+00
      2048   0.185932  10.756663     1.041120e+01
      4096   0.173395  11.534362     1.094150e+01
      8192   0.174333  11.472383     2.462614e+01
     16384   0.183517  10.898313     2.235589e+01
     32768   0.193330  10.345146     2.982225e+01
     65536   0.181759  11.003750     5.087357e+01
    131072   0.178205  11.223939     5.218081e+01
    262144   0.186211  10.741382     1.197455e+02
    524288   0.193439  10.342705     1.578907e+02
   1048576   0.405863   4.929459     6.393758e+01
   2097152   0.541874   3.692157     2.643180e+02
   4194304   0.728877   2.750637     1.526165e+01
   8388608   0.721534   2.790258     3.090274e+02
  16777216   0.718390   2.802468     5.490693e+01
  33554432   0.758847   2.653061     5.663773e+02
  67108864   0.727384   2.767818     1.786503e+02
